restaurant_id,restaurant_name,num_collection,num_review,num_category_restaurant,num_revisit,influential_review_score,score
RIj1gcyJAjNLTeoDBeuosA,야가와,138,525,44,146,49,2038
JUCBqF02vGikeFqRNZGXZQ,스시코하루,65,845,501,72,5,2036
nrfzrU5u7_9RBztCsU9meg,츠바키노하나,23,989,501,84,9,2034
9wAFnri9qtpb3tt-BHmcOA,러반로제 레스토랑,51,1165,486,25,0,2031
HxekiJvyMmzhx0D1Z6czzQ,스시료우,13,761,501,139,3,2025
QYZfvI21Jl62FHaGfVkNXg,OPNNG,117,633,347,87,22,2022
79WqVV2Hq3sm7AbbmbqkrQ,스케줄 청담,52,1072,486,37,12,2015
ROVKhbm91yTziRv7fvUAfA,무니,186,374,307,40,201,2012
lh4MgaiNxcYI-hv_lJynyQ,오부이용,57,1098,141,93,22,2011
vAzOgvS-NhVSzvUl6-Msow,스시심,22,999,501,80,0,2010
jXQlQbed4cZNYydV3yh-Ug,스시유타카,51,818,501,83,19,2008
K5j6Cgqb5BfsHDIrhUbPyw,도꼭지 KT송파타워점,13,1206,286,86,15,2002
ac7JhuE5fHct4PJoqr_WEg,네츠이 熱意,6,741,501,146,0,2002
p1toLG63B74KB1nc7DGXhw,A Flower Blossom on the Rice 꽃밥에 피다,72,1126,286,44,3,1995
5TCiJVqyIdBjZyQs4mlCyw,7th Door,211,438,286,23,95,1989
7JnwTGKrh6Qo2sbh2pxinA,볼피노,91,868,486,29,27,1981
7aORNMXw9Kwl_pshlxb01w,L'Impression,219,530,104,36,69,1978
ZPF4rwXlRExdhpztedXmEw,안녕한우,14,633,406,173,3,1977
4VkFrBv-GpVhlsN9-0xgbg,스시코호시 미사,17,971,501,81,10,1972
2X1OVTOJHdkjjsbBNxgemw,오만지아,40,794,486,91,33,1968
=-KfR4WkBLCdy0ISb2Lf-kA',스시상현,92,467,501,86,109,1967
znaP280u_SFfWupRG9ubJg,wip_seongsu,45,918,597,44,5,1965
Vico7lYp06xaEi-WtNBEFw,디해방 D HAEBANG,83,885,486,31,9,1950
8_FfQaD6HIzPkBZC_0gOXQ,스시 소우카이,65,760,501,71,9,1950
B342IzRlGPszmTVVP480cg,살라댕앰버시,86,1290,23,41,0,1948
wghxez9QXavlUDTobYh4FQ,도슬박,36,1201,286,47,40,1942
B-XWqNBQr5aXCZV8z5YOVQ,스시호우,13,899,501,94,0,1935
ADN9vWwE_3tpWvSDr2j60g,드포레 De;Fore,57,1111,347,38,0,1933
DGIu3AgM_ddSA2fp1lPfCQ,0000 seoul,118,850,141,53,86,1932
i3ed949noo8-IQGq7ZIZpA,숙성도 중문점,35,1518,174,9,17,1929
TYlqckWL4-uWeUDe-NmExg,스시모토이,49,619,501,99,62,1922
FlNPILOOQXh-ytn9mqPLyg,어물전 청 잠실점,51,1182,286,39,0,1918
ArIbTP17_0qBFh160e2mpg,우텐더 정자점,34,931,406,68,70,1917
RyF5swwCcb1LJYX4x_Y9og,모던샤브하우스 센트럴시티점,4,1048,39,153,41,1913
